GL_Code,GL_Name,Opening_Bal,DR_Summation,CR_Summation,Closing_Bal
110101001,Savings Bank Regular,274845.00,0.00,0.00,274845.00
110102001,Current Account Regular,986003.67,0.00,2000000.00,2986003.67
110201001,Term Deposit Cum,150020.00,0.00,0.00,150020.00
110201002,Term Deposit Non Cum,76286.00,0.00,0.00,76286.00
130101001,Interest Payable Savings Bank Regular,998.17,0.00,67.96,1066.13
130102001,IPTDCUM,1021.52,0.00,73.29,1094.81
140103001,IISTLTR,-3.90,0.00,-784.72,-788.62
210201001,OD against TD,-1487154.67,2000000.00,0.00,-3487154.67
220202001,CTLR1,0.00,0.00,0.00,0.00
230101001,IRODATD,3.90,-784.72,0.00,788.62
230201001,RBMIS,0.00,0.00,0.00,0.00
240101001,Interest Expenditure Savings Bank Regular,-998.17,67.96,0.00,-1066.13
240102001,IETDCUM,-1021.52,73.29,0.00,-1094.81
TOTAL,,0.00,1999356.53,1999356.53,0.00
